name,ops,image_url,profile_link,community_member,youtube_link
Aistė Jonušaitė,FM-Si/Te-BS/CP,https://v5.airtableusercontent.com/v2/23/23/1700251200000/CtDV4-ArPcqkVUCQ7uFKrw/HFkR_-HoHhqLN7g6NmJBiWKll1fUx5OtBiOXYR0i3om253KA7wpUZiKEHzxCPZgZJNl_mCgLucDkbW8QHjWNuptUdQK8VuJ4tWSmB8rYlMo-_A6qVmcUmWMEYWx37A93Y1K2goPPSy_sjfSuhHRg8w/EPMAcGiW8Ksm0AlG9FQDIrLpxAJn76p139z7oiCgI3c,http://app.subjectivepersonality.com/search/person?person=Aistė Jonušaitė,1,https://youtu.be/u77t1NVgWRY
Ajit Nawalkha,MF-Ni/Fe-BS/CP,https://v5.airtableusercontent.com/v2/23/23/1700251200000/eBbe2nN19VNOg_bM0xFPPQ/Jh54Ii5WpatHyqA4UEmCn_b3zimuzR8_dpPaXzV0hxjiThy9KujZRnOuesS3kYnnDitcxs0LBbgRJOtoovIXuDeWSI5VrKMwcy5V62FH6inwsaqg2xpEUOtJE5H_s8cO779RwqzQiXyHEs-1yd78VA/irF41IZCo2NF1V87w0nROckCVfRJJ50zwH1iYQdVOy0,http://app.subjectivepersonality.com/search/person?person=Ajit Nawalkha,0,https://www.youtube.com/results?search_query=Ajit%20Nawalkha%20interview
Akiva Schaffer,MF-Ti/Si-SC/PB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/378Vqzjf_CPfJ98zkkzXLA/PdBDtV1-j-rO6SEdsyDw4VQU3bR9Nh-P6PwNv0CPtXCaO5TQOPAEpcBZgAjclh3uScN7-9dwb6QjgiEUdQr0MsdP6D4RaWSs2o-xZQF4GGd_mdFTaw3sF3sK6EW5cFw4tIs5it0qgF39-kvKtNcvgg/3WrdTKn1cnPE5pVXFZpznUYY1A9tDyDwWF1Y1GCroRk,http://app.subjectivepersonality.com/search/person?person=Akiva Schaffer,0,https://www.youtube.com/results?search_query=Akiva%20Schaffer%20interview
Al Gore,FM-Ti/Ni-SC/BP,https://v5.airtableusercontent.com/v2/23/23/1700251200000/3ZgWBhaHZgcYhis8dQ1hag/jPwjWSL3-OIgggJOvAcMh9LeOUXXJYXfNkfo1PNsynuQ0an92faHFR35IXnAVsUdCq56b6je_zf3F6hfz64xvqove_KdWnWA1lSRi5cHqKl31H_IceGOk43Mv_k71pLSnNg3nqwe_gTWVx6j0cruKQ/y5p2tYUKhXzGxO5PgINn3xBEkLxlb5X7qJhHyC-rTtc,http://app.subjectivepersonality.com/search/person?person=Al Gore,0,https://www.youtube.com/results?search_query=Al%20Gore%20interview
Al Jakobsson,FF-Ti/Se-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/5_vM6owMCgmxUrC3vABEpQ/QYdD-guoVB8dMDv8JvdkAG7dvXh22LprT_offnwZfQ9-79U2jnu7S-nyokIwsqARlodfa633uMMvwZumtNN5egPuUWOQeRqENGqbSYQ6kdoDf1xdOEI06IwaOvvMM8mvO457XO_yCFT78KcCEK2UJA/gZ6HjQw1JEHDDFPCP2HrUGTtYaBKRbLgg_Tq0TRoyjk,http://app.subjectivepersonality.com/search/person?person=Al Jakobsson,1,https://www.youtube.com/watch?v=C12c4C-eD4Q&ab_channel=PersonalityTrainer
Al Pacino,FF-Ti/Se-CP/BS,https://v5.airtableusercontent.com/v2/23/23/1700251200000/3pyRU6PY0sYwVyV9Zyf1Eg/YGc_RekJfztpOUfrl6yxRL0kr1xIZjahmaJAocGQ7n7qhlM37_Yme-YPPnYrUA7dw0lllXkJHgsiUAKM9ZddNdErWWVgexmEM_ACyNDNCLOBCNBtt6GUGHRoEG8V5D0ARb1Jlj4fqKI8mB7QUmVOpw/3Kg53Xb6W_2MVuEY7tKUqq0yWRADZGnP1v2I0oI79DY,http://app.subjectivepersonality.com/search/person?person=Al Pacino,0,https://www.youtube.com/results?search_query=Al%20Pacino%20interview
Alīne Alīna,MF-Se/Fi-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/3zNWrH_BCXIgWUCAaMn-cQ/7OApz7rXKMj3YFTj3bz2dje6rw_ZLkbpa8Ma0Hj_2Chv1j4U3tf6hnhcz-thNtNziPB92wXUUWzwdT4c5gCerJTumPjJyaTUukeClt0D-lLVCDL6nlNezaC-9-2Ie8wV18o1w1WC1wklcMSVQrbBKA/7u3zgy9fe8ag_NhOOQkvIeafZaYLJucjO_vJYub-CFE,http://app.subjectivepersonality.com/search/person?person=Alīne Alīna,1,https://youtu.be/DfKFphJcQ6A
Alan Cumming,FF-Ti/Ne-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/M3wgRIqz17JMElx1WyIBMw/oUjsh9F7Mgjt4l1VnMaTTQCD0TTDZjAhG2OSlaQQ5LzwOiqg_Ezx2H9ebenGLKFRp8EYA2vMKkGyZpiDOq7QqxakqY-pAgAk72p0Xh6ywTGODVbHeu2d16cirEQzecZ3g81YgceRzJewk4xYhkqlSg/s2iac5u9eoyQXWO7_eC9_rMik3Ob9SiDglRL-BI1kKY,http://app.subjectivepersonality.com/search/person?person=Alan Cumming,0,https://www.youtube.com/results?search_query=Alan%20Cumming%20interview
Alan M,MM-Te/Se-PC/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/uiLln07IPLBYT0aY75QGaw/XeeGpPtFr6qMSMsPsw_eqzHOr7rlAv2odzzrsT0-l11ca3vYUzCKC8NaYkzS8RQRiVwhWdrBJVstse1bsEQ0UQTZsTtfv4yJLd02xp_4zFxGPHbQRsClLEuIFTwvJ25XZb--r3k8d6Hf2TPy77pq0A/ZgT45DbUcas7lDwu9Ho8joledhnx5hcGczdpoNTJkiE,http://app.subjectivepersonality.com/search/person?person=Alan M,1,https://www.youtube.com/watch?v=IBo54S4mNvY
Alan Rickman,MF-Ni/Ti-SC/BP,https://v5.airtableusercontent.com/v2/23/23/1700251200000/3qsSLa_YiSsPA1rJR7ng2w/8Edgs-SqGRHAL9Ch4L04k2mOctSczLarqtohPn-6IhYg00xRz4LOwy9ONsUjvyv1isKSGrwiU-FSwaGq6PKpBvFJepgXBWu6W87L4ifpU5ccAERL35wmgdFmSUSz3vvTETSFDf4rY5EcP2pi1_trHA/ko-idbFzcNwBMqzuPOP7stMhboJx5k63NpkcU0BwYq0,http://app.subjectivepersonality.com/search/person?person=Alan Rickman,0,https://www.youtube.com/results?search_query=Alan%20Rickman%20interview
